GDP/breakdown at constant 2005 prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,Total Value Added,3197265615,3325217173,3458663129,3597568618,3740622957,3892002237,4048662957,4204836212,4383921471,4557531018,4710568675,4969008729,5121821557,5172303231,5113483130,5197967969,5498378605,5467785790,5395697516,5913467839,5117433094,3766152739,3374886823,3711383958,4036461612,4570457792,5165425411,4746659727,4954550409,5523002128,5760285447,6197986132,6354831578,6812311495,7198349364,7553574339,7953449600,8299956900,9045266583,9375193026,9764941918,10131043450,10242545428,10391162318,10587311268
Algeria,Final consumption expenditure,12164762572,12875678317,13937231393,14430003643,17553350933,18597364360,20431585088,22169459454,23423893067,27045398397,28720928031,31089231014,32022847150,33966218750,35806990373,37389854462,36597355223,34551876143,33004309016,34698218427,33946786693,33051363652,35111137325,34466385206,34789624852,35750561768,35678280933,35439660481,36300443495,37311586317,37890577811,39437276182,41848691493,43534399593,45375881766,46657770810,48636052900,50595382228,54961739885,58784399438,62118821045,66700189591,69492172646,71901067238,74220668676
Algeria,Household consumption expenditure (including Non-profit institutions serving households),10040542293,10604331388,11389176773,12029411847,14518365514,15379656877,16849330824,18374428105,19111494753,20956743900,23131498879,25169392503,25656077111,27297200392,28721163857,30530310070,30259161449,28534479474,26031567195,28937982696,27918318996,25861154636,27107279531,26422448715,26273050900,26818271592,26173933078,25609103469,26146034530,26918132854,27564168042,28859683940,30042930982,31364819945,33340803602,34841139764,35956056236,37861727217,40436324667,42902940472,45305505138,48023835447,50425027219,52946278580,55275914837
Algeria,General government final consumption expenditure,2469383021,2628387748,2902260659,2853031437,3543938098,3756133019,4156757029,4451566505,4896892911,6363194370,6197197678,6624804450,6995793191,7366570229,7801198118,7801198118,7395535933,7003572222,7472811894,6852568369,6955357025,7616115848,8324414680,8291116787,8622761788,8976294339,9335346564,9522053598,9807715011,10052907373,10062960280,10364849088,11370239450,11756827591,11839125384,11816631046,12549262171,12762599628,14306874183,15522958488,16423290081,18032772509,18537690139,18685991660,18891537568
Algeria,Gross capital formation,10257787211,9425847406,10367896891,12300933497,17469206607,19305132592,18589419672,23541296673,27650528762,25666634345,26245270428,28339104974,28803446731,30043022054,31021860111,32562775770,28090788686,22472426783,24267289392,25554813379,24412977286,22164204714,20325835670,19092795031,19933795279,20100582076,19375386242,18624882899,22512803002,22049231525,23438333111,24704003099,26779139359,27930642352,30220955024,32668852381,34694321229,38198447673,42935055185,46713340041,49983273844,51432788785,55135949578,59877641242,63709810281
Algeria,Gross fixed capital formation (including Acquisitions less disposals of valuables),7311389058,6731429368,7401363042,8238636863,10163621645,12455952436,13670314672,16588451769,19381083756,17850140902,17882714069,18454961933,18971700392,19939257140,20657070264,21132183007,19800855203,16533714781,15673961421,16410637469,16131656178,13760303200,14049269646,13599692163,13667691018,14077721468,14570441653,14687005400,15171676354,15581311881,16562934529,17457332994,18923748965,19737470171,21355942725,23085774085,24517092079,26993318379,30340489858,33010452965,35321184673,36345499028,38962374958,42313139205,45021180114
Algeria,Changes in inventories,2912320392,2656019915,2925836547,4309330511,8492571146,7494714571,4628550664,6978554410,8355668322,7972920286,8723778662,10739159736,10584123820,10806294839,11053112235,12452938383,8317025790,5583162044,9395890024,10040974280,8890833067,9439103613,6447545786,5434560340,6493974029,6091732905,4326796912,3107680793,7742321296,6467919644,6875398582,7246670105,7855390394,8193172181,8865012300,9583078296,10177229150,11205129295,12594565327,13702887076,14662089171,15087289757,16173574620,17564502037,18688630167
Algeria,Exports of goods and services,17703583933,12869890586,18689903348,19390602785,16275484040,18299906664,18533742850,19478797056,20593766831,22074590008,19216258013,19273906589,21239844451,22556715696,23842448613,24462351702,24388965400,25852301744,25955710612,28032168026,28985261795,28724396667,29844645773,29277599555,28282160481,30063935768,32318731515,34354812780,34938842257,37035174598,39405425773,39302971666,41464635107,44574482740,46000866188,48714917293,48612615967,48564003351,48447449743,47958130500,47958130500,47828643548,47646894703,47375307403,47470058018
Algeria,Imports of goods and services,7836394516,6870107614,7531626061,9516181401,13942444764,16640500087,15927712180,19642611789,21147228019,19361281345,20010716348,23272461984,22876830752,24295195136,24902574183,26322020890,20531177092,14638727993,15136445004,17679368962,15946790259,13092314561,13694561305,12777025401,13556423882,13827553125,11988487863,12276211884,13172375662,13396305838,14414425082,16028840691,19747531732,20754655850,23348987831,24843323052,24806058068,27757978978,32032707740,36132894331,37758874576,37585183753,42809524295,47090476724,51140257722
Algeria,Gross Domestic Product (GDP),28921921026,26167766866,31990458252,33372819081,34630351340,36648082985,38916132238,42579091225,46911104927,50419035978,50817652395,52342179970,55692081659,58699455749,61986623222,64280126592,64537247733,64085488605,63444630185,66236195287,66766085259,65964891827,67152261404,65742063410,65150387098,67626098424,70398767431,71173153823,74802987233,77196683974,80130157964,82534062703,87155970215,93431200070,97448741673,103198217432,104952587128,108520975091,111125478493,112903486149,116968011650,120360083988,124452326844,127936991995,132798597691
